event_id,event_start_date,event_end_date,risk_id,business_line,business_line_id,causal_factor,causal_factor_id,province_occurred,city_occurred,location_id,gross_loss_cny,recovery_amount_cny,net_loss_cny,log_gross_loss,loss_severity_bucket,is_high_loss,num_banks_involved,primary_bank_code,event_duration_months,description,event_date,gross_loss,recovery_amount,net_loss,business_unit,mitigation_status,mitigation_due_date,expected_loss,probability_score
42,1996-03-01,2000-12-01,RISK-0002,No business line,BL-005,People,CF-002,Henan,Xuchang,LOC-0034,14395000.0,0.0,14395000.0,16.482391551496978,Critical,1,1,6,57.0,"Operational risk event: Internal fraud caused by People in No business line located in Henan, Xuchang.",1996-03-01,14395000.0,0.0,14395000.0,No business line,Unknown,,14395000.0,
43,1999-10-01,2000-06-01,RISK-0001,Commercial banking,BL-003,People,CF-002,Tianjin,Tianjin,LOC-0007,56000000.0,0.0,56000000.0,17.840862266556567,Critical,1,1,6,8.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Tianjin, Tianjin.",1999-10-01,56000000.0,0.0,56000000.0,Commercial banking,Unknown,,56000000.0,
44,1994-11-01,2000-05-01,RISK-0005,Retail banking,BL-007,People,CF-002,Beijing,,LOC-0035,303487.0,0.0,303487.0,12.623097349985022,Medium,0,1,6,66.0,"Operational risk event: Internal fraud caused by People in Retail banking located in Beijing, Unknown city.",1994-11-01,303487.0,0.0,303487.0,Retail banking,Unknown,,303487.0,
45,2000-01-01,2000-03-01,RISK-0003,Payment and settlement,BL-006,People,CF-002,Inner mongolia,Hohhot,LOC-0030,9000000.0,0.0,9000000.0,16.012735246411598,High,0,2,5,2.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Inner mongolia, Hohhot.",2000-01-01,9000000.0,0.0,9000000.0,Payment and settlement,Unknown,,9000000.0,
46,1999-11-01,2000-11-01,RISK-0001,Commercial banking,BL-003,People,CF-002,Jilin,Changchun,LOC-0036,27000000.0,0.0,27000000.0,17.11134746100564,Critical,1,1,6,12.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Jilin, Changchun.",1999-11-01,27000000.0,0.0,27000000.0,Commercial banking,Unknown,,27000000.0,
47,2000-02-01,,RISK-0003,Payment and settlement,BL-006,People,CF-002,Beijing,Beijing,LOC-0005,30000000.0,0.0,30000000.0,17.216707972959764,Critical,1,1,18,,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Beijing, Beijing.",2000-02-01,30000000.0,0.0,30000000.0,Payment and settlement,Unknown,,30000000.0,
48,1997-09-01,2000-06-01,RISK-0001,Commercial banking,BL-003,People,CF-002,Beijing,Beijing,LOC-0005,69600000.0,0.0,69600000.0,18.058275139672464,Critical,1,1,14,33.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Beijing, Beijing.",1997-09-01,69600000.0,0.0,69600000.0,Commercial banking,Unknown,,69600000.0,
49,,,RISK-0002,No business line,BL-005,People,CF-002,Beijing,Beijing,LOC-0005,202300000.0,0.0,202300000.0,19.125262307081126,Critical,1,1,22,,"Operational risk event: Internal fraud caused by People in No business line located in Beijing, Beijing.",,202300000.0,0.0,202300000.0,No business line,Unknown,,202300000.0,
50,,,RISK-0001,Commercial banking,BL-003,People,CF-002,Beijing,Beijing,LOC-0005,3569000.0,0.0,3569000.0,15.087796282662788,High,0,1,22,,"Operational risk event: Internal fraud caused by People in Commercial banking located in Beijing, Beijing.",,3569000.0,0.0,3569000.0,Commercial banking,Unknown,,3569000.0,
51,2000-12-01,,RISK-0003,Payment and settlement,BL-006,People,CF-002,Tianjin,Tianjin,LOC-0007,5000000.0,0.0,5000000.0,15.424948670398354,High,0,1,23,,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Tianjin, Tianjin.",2000-12-01,5000000.0,0.0,5000000.0,Payment and settlement,Unknown,,5000000.0,
52,1999-07-01,,RISK-0001,Commercial banking,BL-003,People,CF-002,Tianjin,Tianjin,LOC-0007,10000000.0,0.0,10000000.0,16.118095750958314,Critical,1,1,23,,"Operational risk event: Internal fraud caused by People in Commercial banking located in Tianjin, Tianjin.",1999-07-01,10000000.0,0.0,10000000.0,Commercial banking,Unknown,,10000000.0,
53,2000-10-01,2001-04-01,RISK-0002,No business line,BL-005,People,CF-002,Shanxi,,LOC-0037,5000000.0,0.0,5000000.0,15.424948670398354,High,0,1,35,6.0,"Operational risk event: Internal fraud caused by People in No business line located in Shanxi, Unknown city.",2000-10-01,5000000.0,0.0,5000000.0,No business line,Unknown,,5000000.0,
54,1997-01-01,,RISK-0002,No business line,BL-005,People,CF-002,Guangdong,Shantou,LOC-0038,5000000.0,0.0,5000000.0,15.424948670398354,High,0,1,44,,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Shantou.",1997-01-01,5000000.0,0.0,5000000.0,No business line,Unknown,,5000000.0,
55,2000-03-01,2000-08-01,RISK-0002,No business line,BL-005,People,CF-002,Guangdong,Shantou,LOC-0038,2400000.0,0.0,2400000.0,14.690979711984754,High,0,1,44,5.0,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Shantou.",2000-03-01,2400000.0,0.0,2400000.0,No business line,Unknown,,2400000.0,
56,2000-06-01,2000-09-01,RISK-0003,Payment and settlement,BL-006,People,CF-002,Fujian,Fuzhou,LOC-0039,14100000.0,0.0,14100000.0,16.46168542627038,Critical,1,1,17,3.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Fujian, Fuzhou.",2000-06-01,14100000.0,0.0,14100000.0,Payment and settlement,Unknown,,14100000.0,
57,1999-05-01,2000-09-01,RISK-0003,Payment and settlement,BL-006,People,CF-002,Heilongjiang,Harbin,LOC-0040,200000000.0,0.0,200000000.0,19.11382792951231,Critical,1,0,,16.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Heilongjiang, Harbin.",1999-05-01,200000000.0,0.0,200000000.0,Payment and settlement,Unknown,,200000000.0,
58,1998-04-01,2000-11-01,RISK-0001,Commercial banking,BL-003,People,CF-002,Jiangsu,Nanjing,LOC-0041,3000000.0,0.0,3000000.0,14.914123179965662,High,0,0,,31.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Jiangsu, Nanjing.",1998-04-01,3000000.0,0.0,3000000.0,Commercial banking,Unknown,,3000000.0,
59,2000-10-01,,RISK-0005,Retail banking,BL-007,People,CF-002,Hainan,,LOC-0042,360000.0,0.0,360000.0,12.793862088206213,Medium,0,1,153,,"Operational risk event: Internal fraud caused by People in Retail banking located in Hainan, Unknown city.",2000-10-01,360000.0,0.0,360000.0,Retail banking,Unknown,,360000.0,
60,,,RISK-0005,Retail banking,BL-007,People,CF-002,Anhui,Bozhou,LOC-0043,70000.0,0.0,70000.0,11.156264806643742,Low,0,1,153,,"Operational risk event: Internal fraud caused by People in Retail banking located in Anhui, Bozhou.",,70000.0,0.0,70000.0,Retail banking,Unknown,,70000.0,
61,1997-03-01,2001-11-01,RISK-0002,No business line,BL-005,People,CF-002,Beijing,Beijing,LOC-0005,12410000.0,0.0,12410000.0,16.334013237760963,Critical,1,1,3,56.0,"Operational risk event: Internal fraud caused by People in No business line located in Beijing, Beijing.",1997-03-01,12410000.0,0.0,12410000.0,No business line,Unknown,,12410000.0,
62,1993-07-01,,RISK-0005,Retail banking,BL-007,People,CF-002,Guangdong,Guangzhou,LOC-0044,980000.0,0.0,980000.0,13.795308871054397,Medium,0,0,,,"Operational risk event: Internal fraud caused by People in Retail banking located in Guangdong, Guangzhou.",1993-07-01,980000.0,0.0,980000.0,Retail banking,Unknown,,980000.0,
63,2000-12-01,2000-12-01,RISK-0001,Commercial banking,BL-003,People,CF-002,Shandong,Yantai,LOC-0045,1400000.0,0.0,1400000.0,14.151983508870947,High,0,0,,0.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Shandong, Yantai.",2000-12-01,1400000.0,0.0,1400000.0,Commercial banking,Unknown,,1400000.0,
64,2000-02-01,2000-02-01,RISK-0007,Corporate finance,BL-004,People,CF-002,Beijing,Beijing,LOC-0005,5000000.0,0.0,5000000.0,15.424948670398354,High,0,1,6,0.0,"Operational risk event: Internal fraud caused by People in Corporate finance located in Beijing, Beijing.",2000-02-01,5000000.0,0.0,5000000.0,Corporate finance,Unknown,,5000000.0,
65,,2000-04-01,RISK-0001,Commercial banking,BL-003,People,CF-002,Sichuan,Dazhou,LOC-0046,1490985000.0,0.0,1490985000.0,21.12270281298693,Critical,1,1,5153,,"Operational risk event: Internal fraud caused by People in Commercial banking located in Sichuan, Dazhou.",,1490985000.0,0.0,1490985000.0,Commercial banking,Unknown,,1490985000.0,
66,1997-03-01,2000-10-01,RISK-0001,Commercial banking,BL-003,People,CF-002,Chongqing,Chongqing,LOC-0006,190000000.0,0.0,190000000.0,19.06253463538792,Critical,1,1,153,43.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Chongqing, Chongqing.",1997-03-01,190000000.0,0.0,190000000.0,Commercial banking,Unknown,,190000000.0,
67,,,RISK-0005,Retail banking,BL-007,People,CF-002,Shaanxi,Xi'an,LOC-0001,18720000.0,0.0,18720000.0,16.74510308243252,Critical,1,1,4,,"Operational risk event: Internal fraud caused by People in Retail banking located in Shaanxi, Xi'an.",,18720000.0,0.0,18720000.0,Retail banking,Unknown,,18720000.0,
68,,2000-06-01,RISK-0008,Trading & sales,BL-009,People,CF-002,Guangdong,Guangzhou,LOC-0044,328000000.0,0.0,328000000.0,19.6085241693972,Critical,1,1,4,,"Operational risk event: Internal fraud caused by People in Trading & sales located in Guangdong, Guangzhou.",,328000000.0,0.0,328000000.0,Trading & sales,Unknown,,328000000.0,
69,2000-06-01,2003-02-01,RISK-0008,Trading & sales,BL-009,People,CF-002,Hubei,Xiangyang,LOC-0047,18440000.0,0.0,18440000.0,16.730032830322656,Critical,1,1,7,32.0,"Operational risk event: Internal fraud caused by People in Trading & sales located in Hubei, Xiangyang.",2000-06-01,18440000.0,0.0,18440000.0,Trading & sales,Unknown,,18440000.0,
70,2000-08-01,2001-10-01,RISK-0003,Payment and settlement,BL-006,People,CF-002,Yunnan,Kunming,LOC-0025,620000.0,0.0,620000.0,13.3374763699232,Medium,0,1,4,14.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Yunnan, Kunming.",2000-08-01,620000.0,0.0,620000.0,Payment and settlement,Unknown,,620000.0,
71,2001-04-01,2001-08-01,RISK-0003,Payment and settlement,BL-006,People,CF-002,Henan,Sanmenxia,LOC-0048,1970168.0,0.0,1970168.0,14.493629883836725,High,0,1,4,4.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Henan, Sanmenxia.",2001-04-01,1970168.0,0.0,1970168.0,Payment and settlement,Unknown,,1970168.0,
72,,,RISK-0006,Payment and settlement,BL-006,People,CF-002,Shanghai,Shanghai,LOC-0016,108900.0,0.0,108900.0,11.598194491615347,Medium,0,1,4,,"Operational risk event: Execution, delivery & process management caused by People in Payment and settlement located in Shanghai, Shanghai.",,108900.0,0.0,108900.0,Payment and settlement,Unknown,,108900.0,
73,2001-07-01,2001-07-01,RISK-0002,No business line,BL-005,People,CF-002,Fujian,Longyan,LOC-0049,367000.0,0.0,367000.0,12.813119851828635,Medium,0,1,4,0.0,"Operational risk event: Internal fraud caused by People in No business line located in Fujian, Longyan.",2001-07-01,367000.0,0.0,367000.0,No business line,Unknown,,367000.0,
74,,,RISK-0005,Retail banking,BL-007,People,CF-002,Shanghai,Shanghai,LOC-0016,6000.0,0.0,6000.0,8.699681400989514,Low,0,1,4,,"Operational risk event: Internal fraud caused by People in Retail banking located in Shanghai, Shanghai.",,6000.0,0.0,6000.0,Retail banking,Unknown,,6000.0,
75,2001-10-01,2001-10-01,RISK-0009,Retail banking,BL-007,People,CF-002,Henan,Nanyang,LOC-0050,31900.0,0.0,31900.0,10.370392636243981,Low,0,1,4,0.0,"Operational risk event: Execution, delivery & process management caused by People in Retail banking located in Henan, Nanyang.",2001-10-01,31900.0,0.0,31900.0,Retail banking,Unknown,,31900.0,
76,2002-06-01,2002-09-01,RISK-0005,Retail banking,BL-007,People,CF-002,Sichuan,,LOC-0051,49000.0,0.0,49000.0,10.799595985047786,Low,0,1,4,3.0,"Operational risk event: Internal fraud caused by People in Retail banking located in Sichuan, Unknown city.",2002-06-01,49000.0,0.0,49000.0,Retail banking,Unknown,,49000.0,
77,,,RISK-0009,Retail banking,BL-007,People,CF-002,Guangdong,Shenzhen,LOC-0003,300000.0,0.0,300000.0,12.611541086966115,Medium,0,1,4,,"Operational risk event: Execution, delivery & process management caused by People in Retail banking located in Guangdong, Shenzhen.",,300000.0,0.0,300000.0,Retail banking,Unknown,,300000.0,
78,2000-09-01,,RISK-0010,Commercial banking,BL-003,People,CF-002,Beijing,Beijing,LOC-0005,54000000.0,0.0,54000000.0,17.804494623047066,Critical,1,2,4,,"Operational risk event: External fraud caused by People in Commercial banking located in Beijing, Beijing.",2000-09-01,54000000.0,0.0,54000000.0,Commercial banking,Unknown,,54000000.0,
79,,,RISK-0003,Payment and settlement,BL-006,People,CF-002,Shaanxi,Xianyang,LOC-0052,46438.0,0.0,46438.0,10.745894902418918,Low,0,1,7,,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Shaanxi, Xianyang.",,46438.0,0.0,46438.0,Payment and settlement,Unknown,,46438.0,
