risk_id,risk_event_type,risk_category,risk_business_line,risk_description,risk_owner
RISK-0044,External fraud,External event,No business line,"Operational risk event: External fraud caused by External event in No business line located in Jilin, Changchun.",Unknown
RISK-0045,"Execution, delivery & process management",Process,Asset management,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Shandong, Dezhou.",Unknown
RISK-0046,Internal fraud,People,Retail brokerage,"Operational risk event: Internal fraud caused by People in Retail brokerage located in Guangdong, Foshan.",Unknown
RISK-0047,Employment practices and workplace safety,People,Payment and settlement,"Operational risk event: Employment practices and workplace safety caused by People in Payment and settlement located in Inner mongolia, Ordos.",Unknown
RISK-0048,"Clients, products & business practices",Process,Retail brokerage,"Operational risk event: Clients, products & business practices caused by Process in Retail brokerage located in Hebei, Cangzhou.",Unknown
RISK-0049,Internal fraud,Process,Commercial banking,"Operational risk event: Internal fraud caused by Process in Commercial banking located in Anhui, Huangshan.",Unknown
RISK-0050,Internal fraud,Process,Retail banking,"Operational risk event: Internal fraud caused by Process in Retail banking located in Zhejiang, Taizhou.",Unknown
RISK-0051,Business disruption and system failures,System,Agency services,"Operational risk event: Business disruption and system failures caused by System in Agency services located in Guangdong, Huizhou.",Unknown
RISK-0052,Employment practices and workplace safety,System,Retail banking,"Operational risk event: Employment practices and workplace safety caused by System in Retail banking located in Sichuan, Leshan.",Unknown
RISK-0053,External fraud,Process,Agency services,"Operational risk event: External fraud caused by Process in Agency services located in Fujian, Zhangzhou.",Unknown
RISK-0054,"Clients, products & business practices",People,Agency services,"Operational risk event: Clients, products & business practices caused by People in Agency services located in Hainan, Unknown city.",Unknown
RISK-0055,"Execution, delivery & process management",External event,Agency services,"Operational risk event: Execution, delivery & process management caused by External event in Agency services located in Shanghai, Shanghai.",Unknown
RISK-0056,Business disruption and system failures,Process,Trading & sales,"Operational risk event: Business disruption and system failures caused by Process in Trading & sales located in Shanghai,Hongkong, Unknown city.",Unknown
RISK-0057,"Clients, products & business practices",Process,Asset management,"Operational risk event: Clients, products & business practices caused by Process in Asset management located in Beijing,Gansu, Lanzhou.",Unknown
RISK-0058,"Clients, products & business practices",Process,Trading & sales,"Operational risk event: Clients, products & business practices caused by Process in Trading & sales located in Beijing, Unknown city.",Unknown
RISK-0059,Internal fraud,External event,Commercial banking,"Operational risk event: Internal fraud caused by External event in Commercial banking located in Hubei, Unknown city.",Unknown
RISK-0060,"Clients, products & business practices",External event,Trading & sales,"Operational risk event: Clients, products & business practices caused by External event in Trading & sales located in Inner mongolia,Fujian,Jiangxi,Inner mongolia, Quanzhou,Nanchang.",Unknown
RISK-0061,"Clients, products & business practices",External event,Asset management,"Operational risk event: Clients, products & business practices caused by External event in Asset management located in Beijing, Shenzhen.",Unknown
RISK-0062,"Clients, products & business practices",External event,Payment and settlement,"Operational risk event: Clients, products & business practices caused by External event in Payment and settlement located in Shanghai, Unknown city.",Unknown
RISK-0063,"Clients, products & business practices",People,Trading & sales,"Operational risk event: Clients, products & business practices caused by People in Trading & sales located in Shanghai,Chongqing, Xi'an.",Unknown
RISK-0064,Internal fraud,External event,Retail banking,"Operational risk event: Internal fraud caused by External event in Retail banking located in Sichuan, Chengdu.",Unknown
RISK-0065,"Clients, products & business practices",Process,Payment and settlement,"Operational risk event: Clients, products & business practices caused by Process in Payment and settlement located in Beijing, Quanzhou.",Unknown
RISK-0066,Internal fraud,Process,Asset management,"Operational risk event: Internal fraud caused by Process in Asset management located in Henan, Zhengzhou.",Unknown
RISK-0067,Business disruption and system failures,System,Asset management,"Operational risk event: Business disruption and system failures caused by System in Asset management located in Beijing, Chaoyang.",Unknown
RISK-0068,External fraud,People,Retail banking,"Operational risk event: External fraud caused by People in Retail banking located in Anhui, Unknown city.",Unknown
RISK-0069,"Clients, products & business practices",External event,No business line,"Operational risk event: Clients, products & business practices caused by External event in No business line located in Unknown province, Unknown city.",Unknown
RISK-0070,"Clients, products & business practices",People,Payment and settlement,"Operational risk event: Clients, products & business practices caused by People in Payment and settlement located in Beijing,Jilin,Shanghai,Anhui,Jiangxi,Guangxi,Xinjiang, Handan,Shenyang,Jilin,Ningbo,Hangzhou,Jiaxing,Xuancheng,Changsha,Shenzhen,Baiyin.",Unknown
RISK-0071,"Execution, delivery & process management",People,Asset management,"Operational risk event: Execution, delivery & process management caused by People in Asset management located in Liaoning, Dandong.",Unknown
RISK-0072,External fraud,Process,Commercial banking,"Operational risk event: External fraud caused by Process in Commercial banking located in Beijing,Hebei, Baoding.",Unknown
RISK-0073,Internal fraud,External event,Asset management,"Operational risk event: Internal fraud caused by External event in Asset management located in Zhejiang,Guangdong, Wenzhou,Lishui.",Unknown
RISK-0074,External fraud,External event,Trading & sales,"Operational risk event: External fraud caused by External event in Trading & sales located in Inner mongolia,Sichuan,Inner mongolia, Shenzhen,Chengdu.",Unknown
RISK-0075,External fraud,Process,Retail banking,"Operational risk event: External fraud caused by Process in Retail banking located in Shanghai, Unknown city.",Unknown
RISK-0076,"Clients, products & business practices",People,Commercial banking,"Operational risk event: Clients, products & business practices caused by People in Commercial banking located in Unknown province, Unknown city.",Unknown
RISK-0077,Damage to physical assets,External event,Asset management,"Operational risk event: Damage to physical assets caused by External event in Asset management located in Chongqing, Unknown city.",Unknown
RISK-0078,"Clients, products & business practices",External event,Commercial banking,"Operational risk event: Clients, products & business practices caused by External event in Commercial banking located in Beijing, Nanjing.",Unknown
RISK-0079,Business disruption and system failures,External event,Retail banking,"Operational risk event: Business disruption and system failures caused by External event in Retail banking located in Unknown province, Nanjing.",Unknown
RISK-0080,Employment practices and workplace safety,People,No business line,"Operational risk event: Employment practices and workplace safety caused by People in No business line located in Beijing,Jiangsu,Zhejiang,Jiangxi,Guangdong, Nanchang,Shenzhen,Zhuhai,Dongfang.",Unknown
RISK-0081,"Clients, products & business practices",System,Payment and settlement,"Operational risk event: Clients, products & business practices caused by System in Payment and settlement located in Beijing,Shanghai,Jiangsu,Guangdong, Unknown city.",Unknown
RISK-0082,Business disruption and system failures,System,Payment and settlement,"Operational risk event: Business disruption and system failures caused by System in Payment and settlement located in Unknown province, Changchun.",Unknown
RISK-0083,Employment practices and workplace safety,Process,Payment and settlement,"Operational risk event: Employment practices and workplace safety caused by Process in Payment and settlement located in Beijing,Shaanxi, Hanzhong.",Unknown
RISK-0084,Internal fraud,Process,No business line,"Operational risk event: Internal fraud caused by Process in No business line located in Beijing, Fuzhou.",Unknown
RISK-0085,"Execution, delivery & process management",Process,Corporate finance,"Operational risk event: Execution, delivery & process management caused by Process in Corporate finance located in Beijing, Hohhot,Wuhai.",Unknown
RISK-0086,"Execution, delivery & process management",Process,No business line,"Operational risk event: Execution, delivery & process management caused by Process in No business line located in Beijing,Jiangxi, Nanchang.",Unknown
RISK-0087,"Execution, delivery & process management",People,No business line,"Operational risk event: Execution, delivery & process management caused by People in No business line located in Liaoning, Shenyang.",Unknown
RISK-0088,"Execution, delivery & process management",People,Trading & sales,"Operational risk event: Execution, delivery & process management caused by People in Trading & sales located in Beijing, Dalian.",Unknown
RISK-0089,"Execution, delivery & process management",External event,Asset management,"Operational risk event: Execution, delivery & process management caused by External event in Asset management located in Shaanxi, Xi'an.",Unknown
RISK-0090,"Execution, delivery & process management",External event,Payment and settlement,"Operational risk event: Execution, delivery & process management caused by External event in Payment and settlement located in Beijing,Shanghai,Henan, Zhengzhou.",Unknown
RISK-0091,Damage to physical assets,System,Asset management,"Operational risk event: Damage to physical assets caused by System in Asset management located in Anhui, Unknown city.",Unknown
RISK-0092,"Clients, products & business practices",Process,Corporate finance,"Operational risk event: Clients, products & business practices caused by Process in Corporate finance located in Tianjin,Shanghai,Jiangsu, Unknown city.",Unknown
RISK-0093,"Clients, products & business practices",Process,Agency services,"Operational risk event: Clients, products & business practices caused by Process in Agency services located in Unknown province, Unknown city.",Unknown
RISK-0094,Internal fraud,Process,Trading & sales,"Operational risk event: Internal fraud caused by Process in Trading & sales located in Shanghai,Shandong, Jinan,Liaocheng.",Unknown
RISK-0095,Business disruption and system failures,People,Retail banking,"Operational risk event: Business disruption and system failures caused by People in Retail banking located in Henan, Unknown city.",Unknown
RISK-0096,External fraud,People,Trading & sales,"Operational risk event: External fraud caused by People in Trading & sales located in Shanghai, Unknown city.",Unknown
RISK-0097,External fraud,External event,Corporate finance,"Operational risk event: External fraud caused by External event in Corporate finance located in Beijing,Hebei,Shanxi,Shanghai, Langfang,Taiyuan,Ningbo,Bengbu,Qingdao.",Unknown
RISK-0098,,,,"Operational risk event: Unknown type caused by Unknown cause in Unknown business line located in Unknown province, Unknown city.",Unknown
