event_id,risk_id,business_unit_id,event_date_key,due_date_key,gross_loss,recovery_amount,net_loss,impact_level,probability_score,expected_loss,mitigation_status,description
66,RISK-0001,3.0,19970301,,190000000.0,0.0,190000000.0,Critical,,190000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Chongqing, Chongqing."
67,RISK-0005,7.0,,,18720000.0,0.0,18720000.0,Critical,,18720000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Shaanxi, Xi'an."
68,RISK-0008,9.0,,,328000000.0,0.0,328000000.0,Critical,,328000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Trading & sales located in Guangdong, Guangzhou."
69,RISK-0008,9.0,20000601,,18440000.0,0.0,18440000.0,Critical,,18440000.0,Unknown,"Operational risk event: Internal fraud caused by People in Trading & sales located in Hubei, Xiangyang."
70,RISK-0003,6.0,20000801,,620000.0,0.0,620000.0,High,,620000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Yunnan, Kunming."
71,RISK-0003,6.0,20010401,,1970168.0,0.0,1970168.0,Critical,,1970168.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Henan, Sanmenxia."
72,RISK-0006,6.0,,,108900.0,0.0,108900.0,Medium,,108900.0,Unknown,"Operational risk event: Execution, delivery & process management caused by People in Payment and settlement located in Shanghai, Shanghai."
73,RISK-0002,5.0,20010701,,367000.0,0.0,367000.0,High,,367000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Fujian, Longyan."
74,RISK-0005,7.0,,,6000.0,0.0,6000.0,Low,,6000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Shanghai, Shanghai."
75,RISK-0009,7.0,20011001,,31900.0,0.0,31900.0,Low,,31900.0,Unknown,"Operational risk event: Execution, delivery & process management caused by People in Retail banking located in Henan, Nanyang."
76,RISK-0005,7.0,20020601,,49000.0,0.0,49000.0,Low,,49000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Sichuan, Unknown city."
77,RISK-0009,7.0,,,300000.0,0.0,300000.0,High,,300000.0,Unknown,"Operational risk event: Execution, delivery & process management caused by People in Retail banking located in Guangdong, Shenzhen."
78,RISK-0010,3.0,20000901,,54000000.0,0.0,54000000.0,Critical,,54000000.0,Unknown,"Operational risk event: External fraud caused by People in Commercial banking located in Beijing, Beijing."
79,RISK-0003,6.0,,,46438.0,0.0,46438.0,Low,,46438.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Shaanxi, Xianyang."
80,RISK-0002,5.0,20000401,,340000.0,0.0,340000.0,High,,340000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Tianjin, Tianjin."
81,RISK-0002,5.0,20011201,,1000000.0,0.0,1000000.0,Critical,,1000000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Shaanxi, Yan'an."
82,RISK-0002,5.0,19970401,,2000000.0,0.0,2000000.0,Critical,,2000000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Sichuan, Meishan."
83,RISK-0003,6.0,19990401,,5000000.0,0.0,5000000.0,Critical,,5000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Liaoning, Shenyang."
84,RISK-0002,5.0,,,541940000.0,0.0,541940000.0,Critical,,541940000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Jilin, Changchun."
85,RISK-0001,3.0,19991201,,328440000.0,0.0,328440000.0,Critical,,328440000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Jilin, Changchun."
86,RISK-0004,7.0,,,13365.0,0.0,13365.0,Low,,13365.0,Unknown,"Operational risk event: Clients, products & business practices caused by People in Retail banking located in Fujian, Ningde."
87,RISK-0002,5.0,19981201,,4130000.0,0.0,4130000.0,Critical,,4130000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Sichuan, Dazhou."
88,RISK-0005,7.0,19970701,,14200000.0,0.0,14200000.0,Critical,,14200000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Henan, Zhengzhou."
89,RISK-0003,6.0,,,146100000.0,0.0,146100000.0,Critical,,146100000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Liaoning, Jinzhou."
90,RISK-0002,5.0,20001001,,116000.0,0.0,116000.0,Medium,,116000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Sichuan, Dazhou."
91,RISK-0005,7.0,20010201,,870000.0,0.0,870000.0,High,,870000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Guangdong, Foshan."
92,RISK-0005,7.0,20000501,,1137190.0,0.0,1137190.0,Critical,,1137190.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Guangdong, Maoming."
93,RISK-0002,5.0,20010201,,3760000.0,0.0,3760000.0,Critical,,3760000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Guangxi, Guilin."
94,RISK-0009,7.0,20010401,,8000.0,0.0,8000.0,Low,,8000.0,Unknown,"Operational risk event: Execution, delivery & process management caused by People in Retail banking located in Beijing, Beijing."
95,RISK-0002,5.0,,,1500000.0,0.0,1500000.0,Critical,,1500000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Xinjiang, Bortala."
96,RISK-0004,7.0,,,106000.0,0.0,106000.0,Medium,,106000.0,Unknown,"Operational risk event: Clients, products & business practices caused by People in Retail banking located in Shanghai, Shanghai."
97,RISK-0004,7.0,,,120000.0,0.0,120000.0,Medium,,120000.0,Unknown,"Operational risk event: Clients, products & business practices caused by People in Retail banking located in Liaoning, Jinzhou."
98,RISK-0004,7.0,20011001,,309400.0,0.0,309400.0,High,,309400.0,Unknown,"Operational risk event: Clients, products & business practices caused by People in Retail banking located in Zhejiang, Wenzhou."
99,RISK-0005,7.0,20010101,,2800000.0,0.0,2800000.0,Critical,,2800000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Henan, Zhoukou."
100,RISK-0005,7.0,20001001,,261000.0,0.0,261000.0,High,,261000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Unknown province, Unknown city."
101,RISK-0004,7.0,,,97000.0,0.0,97000.0,Medium,,97000.0,Unknown,"Operational risk event: Clients, products & business practices caused by People in Retail banking located in Shanghai, Shanghai."
102,RISK-0005,7.0,20010801,,26777.000000000004,0.0,26777.000000000004,Low,,26777.000000000004,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Jiangxi, Nanchang."
103,RISK-0002,5.0,20010701,,1477600.0,0.0,1477600.0,Critical,,1477600.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Yunnan, Qujing."
104,RISK-0002,5.0,,,10000000.0,0.0,10000000.0,Critical,,10000000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Hubei, Wuhan."
105,RISK-0005,7.0,,,315000000.0,0.0,315000000.0,Critical,,315000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Sichuan, Chengdu."
106,RISK-0005,7.0,20010401,,3590000.0,0.0,3590000.0,Critical,,3590000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Guangdong, Shenzhen."
107,RISK-0003,6.0,20010401,,280000.0,0.0,280000.0,High,,280000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Heilongjiang, Daqing."
108,RISK-0002,5.0,20010901,,2400000.0,0.0,2400000.0,Critical,,2400000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Guangzhou."
109,RISK-0002,5.0,20000201,,21260000.0,0.0,21260000.0,Critical,,21260000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Shaoguan."
110,RISK-0001,3.0,20010401,,70000000.0,0.0,70000000.0,Critical,,70000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Shanghai, Shanghai."
111,RISK-0003,6.0,20010401,,50100000.0,0.0,50100000.0,Critical,,50100000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Fujian, Unknown city."
112,RISK-0001,3.0,19980101,,710000000.0,0.0,710000000.0,Critical,,710000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Jiangsu, Yancheng."
113,RISK-0001,3.0,19991201,,328440000.0,0.0,328440000.0,Critical,,328440000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Jilin, Changchun."
114,RISK-0002,5.0,,,49760000.0,0.0,49760000.0,Critical,,49760000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Shantou."
115,RISK-0005,7.0,,,9000000.0,0.0,9000000.0,Critical,,9000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Beijing, Beijing."
116,RISK-0005,7.0,19990301,,16460000.0,0.0,16460000.0,Critical,,16460000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Shaanxi, Xi'an."
117,RISK-0005,7.0,20010301,,1800000.0,0.0,1800000.0,Critical,,1800000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Shandong, Linyi."
118,RISK-0005,7.0,20010801,,650000.0,0.0,650000.0,High,,650000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Fujian, Sanming."
119,RISK-0005,7.0,20010101,,800000.0,0.0,800000.0,High,,800000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Tianjin, Tianjin."
120,RISK-0002,5.0,20010801,,1517800.0,0.0,1517800.0,Critical,,1517800.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Jiangsu, Nanjing."
121,RISK-0005,7.0,19991101,,20000000.0,0.0,20000000.0,Critical,,20000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Shandong, Qingdao."
122,RISK-0005,7.0,20010701,,9000.0,0.0,9000.0,Low,,9000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Heilongjiang, Yichun."
123,RISK-0001,3.0,20000801,,86000000.0,0.0,86000000.0,Critical,,86000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Beijing, Beijing."
124,RISK-0002,5.0,,,4820000.0,0.0,4820000.0,Critical,,4820000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Fujian, Longyan."
125,RISK-0001,3.0,19990101,,37506000.0,0.0,37506000.0,Critical,,37506000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Zhejiang, Taizhou."
126,RISK-0005,7.0,20010901,,404000.0,0.0,404000.0,High,,404000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Henan, Xinyang."
127,RISK-0001,3.0,19950301,,990000000.0,0.0,990000000.0,Critical,,990000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Gansu, Lanzhou."
128,RISK-0001,3.0,20010101,,910400000.0,0.0,910400000.0,Critical,,910400000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Shanghai, Shanghai."
129,RISK-0002,5.0,,,3600000000.0,0.0,3600000000.0,Critical,,3600000000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Jiangmen."
130,RISK-0005,7.0,19981101,,36000000.0,0.0,36000000.0,Critical,,36000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Shaanxi, Xi'an."
131,RISK-0005,7.0,20020601,,640000.0,0.0,640000.0,High,,640000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Yunnan, Baoshan."
132,RISK-0005,7.0,20020101,,5988000.0,0.0,5988000.0,Critical,,5988000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Hunan, Unknown city."
133,RISK-0003,6.0,20021201,,306000000.0,0.0,306000000.0,Critical,,306000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Hebei, Baoding."
134,RISK-0001,3.0,20010301,,36589000.0,0.0,36589000.0,Critical,,36589000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Heilongjiang, Mudanjiang."
135,RISK-0009,7.0,,,325000.0,0.0,325000.0,High,,325000.0,Unknown,"Operational risk event: Execution, delivery & process management caused by People in Retail banking located in Guangdong, Unknown city."
136,RISK-0002,5.0,20000401,,106000000.0,0.0,106000000.0,Critical,,106000000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Shanghai, Shanghai."
137,RISK-0001,3.0,19951101,,451460000.0,0.0,451460000.0,Critical,,451460000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Hainan, Haikou."
138,RISK-0002,5.0,,,100000.0,0.0,100000.0,Medium,,100000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Henan, Unknown city."
139,RISK-0005,7.0,20021201,,2310000.0,0.0,2310000.0,Critical,,2310000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Guangdong, Guangzhou."
140,RISK-0003,6.0,20020101,,10000000.0,0.0,10000000.0,Critical,,10000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Hunan, Zhuzhou."
141,RISK-0002,5.0,19961201,,8040000.0,0.0,8040000.0,Critical,,8040000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Fujian, Nanping."
142,RISK-0001,3.0,20000501,,41000000.0,0.0,41000000.0,Critical,,41000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Zhejiang, Jinhua."
143,RISK-0002,5.0,19951101,,887300.0,0.0,887300.0,High,,887300.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Maoming."
144,RISK-0002,5.0,19980901,,7900000.0,0.0,7900000.0,Critical,,7900000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Inner mongolia, Baotou."
145,RISK-0002,5.0,,,1260000.0,0.0,1260000.0,Critical,,1260000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Gansu, Pingliang."
146,RISK-0003,6.0,20021101,,17674.2,0.0,17674.2,Low,,17674.2,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Fujian, Xiamen."
147,RISK-0002,5.0,,,17000000.0,0.0,17000000.0,Critical,,17000000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Zhongshan."
148,RISK-0003,6.0,20020601,,128247000.0,0.0,128247000.0,Critical,,128247000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Guangdong, Zhuhai."
149,RISK-0002,5.0,20020501,,1165000.0,0.0,1165000.0,Critical,,1165000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Guangzhou."
150,RISK-0001,3.0,20021201,,1000000.0,0.0,1000000.0,Critical,,1000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Hainan, Haikou."
151,RISK-0002,5.0,20011201,,2920000.0,0.0,2920000.0,Critical,,2920000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Yunnan, Pu'er."
152,RISK-0002,5.0,20020501,,7093000.0,0.0,7093000.0,Critical,,7093000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Sichuan, Chengdu."
153,RISK-0001,3.0,20020701,,35000000.0,0.0,35000000.0,Critical,,35000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Tianjin, Tianjin."
154,RISK-0001,3.0,19990701,,37500000.0,0.0,37500000.0,Critical,,37500000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Henan, Luoyang."
155,RISK-0001,3.0,,,298000000.0,0.0,298000000.0,Critical,,298000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Guizhou, Guiyang."
156,RISK-0002,5.0,20020901,,165170.0,0.0,165170.0,Medium,,165170.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Ningxia, Yinchuan."
157,RISK-0002,5.0,20020901,,1720000.0,0.0,1720000.0,Critical,,1720000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Ningxia, Yinchuan."
158,RISK-0002,5.0,20020901,,329799.99999999994,0.0,329799.99999999994,High,,329799.99999999994,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Ningxia, Wuzhong."
